model,prompt,eng,fra,eng ms,fra ms,aeb,afr,aka,amh,ary,arz,bam,bem,cjk,dik,dyu,ewe,fon,fuv,gaz,hau,ibo,kab,kam,kea,kbp,kik,kin,kmb,knc,kon,lin,lua,lug,luo,mos,nso,nus,nya,plt,por,run,sag,sot,sna,som,ssw,swa,tir,tso,tum,twi,tzm,umb,wol,xho,yor,zul,amh,hau,ibo,lin,lug,orm,pcm,run,sna,som,swa,tir,xho,yor,avg_score
gemma-1.1-7b-it,prompt_5,82.64,76.74,66.2,29.9,55.8,73.3,32.28,12.86,57.54,62.57,22.9,33.67,22.94,33.77,30.12,23.57,25.16,22.02,23.09,35.34,29.16,15.38,31.54,60.16,27.93,28.83,38.76,22.74,28.96,33.49,37.81,38.25,35.57,22.91,21.36,32.8,21.86,35.25,37.94,77.48,27.54,28.82,37.45,30.97,33.13,31.6,60.4,11.98,30,28.32,33.59,10,19.33,33.08,30.26,23.11,25.72,0.3,24.0,16.2,11.4,6.7,6.5,55.1,7.8,17.3,16.3,19.1,6.6,14.8,14.8,29.2
gemma-2-27b-it,prompt_1,84.21,82.89,79.1,74.6,80.72,83.02,59.15,71.81,82.05,82.88,39.52,52.11,39.92,42.26,43.78,39.73,36.94,40.96,44.96,71.43,73.65,25.98,44.08,75.75,45.79,54.9,66.52,36.31,39.94,54.5,50.92,47.49,51.9,39.54,37,56.56,34.37,64.01,65.31,83.81,55.67,40.62,64,58.67,68.72,56.83,81.49,58.11,53.37,57.57,63.66,10.16,38.83,49.18,67.96,61.23,68.05,76.6,74.9,75.1,80.0,72.2,79.1,90.5,85.1,71.0,74.2,76.5,66.9,87.2,88.3,59.9
gemma-2-27b-it,prompt_2,89.33,89.33,81.9,65.9,82.3,87.55,55.52,74.44,83.92,81.81,38.54,55.99,41.44,42.33,46.68,39.91,34.87,45.35,32.33,74.75,72.86,22.1,46.92,80.73,42.66,55.87,68.01,39.31,42.75,55.48,54.69,43.86,56.47,47.93,40.11,60.87,33.44,58.4,59.21,88.81,56.79,46.34,65.95,61.95,63.75,57.45,85.42,53.89,57.03,56.71,61.57,7.19,41.39,56.42,70.28,62.5,69.26,73.7,77.2,62.8,80.0,77.6,80.9,91.8,87.0,66.9,73.5,72.7,69.9,91.3,87.1,60.5
gemma-2-27b-it,prompt_3,82.2,82.89,80.2,77.7,80.68,82.59,58.28,75.01,83.34,83.35,40.62,60.73,38.22,37.51,48.91,40.74,34.3,47.06,37.41,71.7,75.16,27.78,44.57,81.87,45.85,56.25,74.4,43.53,46.64,56.41,55.34,43.4,54.24,39.74,35.39,65.65,30.9,64.68,63.43,83.44,62.94,43.69,67.58,72.62,70.21,55.52,85.63,61.66,56.35,65.13,65.04,10.53,45.01,56.93,71.63,62.17,72.55,79.5,80.7,84.6,85.1,78.9,81.2,92.1,89.1,77.2,75.2,79.0,73.9,85.9,85.6,62.4
gemma-2-27b-it,prompt_4,82.19,82.48,70.2,70.4,76,79.98,44.2,66.69,75.8,80.57,33.77,43.25,25.3,29.51,26.12,28.63,25.87,27.47,36.21,67.83,66.86,19.19,33.4,67.01,32.92,42.94,63.7,25.46,24.17,40.98,45.38,38.22,43.65,24.28,19.67,56.09,22.18,62.98,63.94,78.97,52.64,29.82,59.34,53.53,64.3,51.33,77.51,54.12,48.66,50.68,51.39,7.83,25.58,38.94,64.15,49.39,65.02,71.8,73.2,76.2,80.0,70.0,78.5,87.9,85.7,66.7,70.4,71.6,71.0,87.9,87.8,53.2
gemma-2-27b-it,prompt_5,83.94,85.1,78.5,75.6,77.92,82.8,59.15,73.5,76.74,80.9,44.78,57.09,39.15,39.09,49.91,42.59,40.04,38.78,43.23,74.18,74.24,31.14,44.12,79.42,44.85,48.4,67.49,42.91,42.07,56.7,55.27,44.9,46.98,40.68,35.9,57.73,30.5,66.61,66.13,83.4,57.28,44.72,64.31,66.92,71.08,58.33,82.91,59.7,51.74,61.25,60.56,13.88,44.27,53.87,69.6,60.52,69.39,79.3,80.2,82.8,83.4,78.0,78.5,90.8,86.0,78.1,73.5,77.9,71.0,86.5,86.6,61.2
gemma-2-9b-it,prompt_1,82.54,84,82.0,75.8,75.16,78.12,48.28,59.48,75.63,76.07,39.54,48.72,42.95,35.53,35.29,35.1,37.48,38.39,38.05,69.87,60.17,22.59,37.74,68,35.55,45.05,57.98,36.64,46.22,45.71,47.18,45.18,48.8,39.9,39.41,49.58,26.77,67.09,51.25,81.71,48.52,44.38,53.81,60.04,60.72,51.23,76.28,40.41,46.35,56.28,53.69,4.87,35.96,51.59,63.24,50.2,59.84,78.7,73.9,79.5,75.4,60.5,60.6,92.5,83.9,65.3,72.8,80.9,56.3,58.6,88.3,54.8
gemma-2-9b-it,prompt_2,76.35,77.86,85.4,76.3,75.22,74.7,45.6,59.41,72.84,76.89,31.33,43.8,34.14,31.56,37.71,34.27,27.94,39.62,29.58,61.84,55.18,12.93,35.56,72.08,34.52,46.61,53.81,32.78,34.05,47.94,48.9,35.35,48.19,36.25,33.51,44.67,24.56,47.24,47.09,79.69,44.69,35.31,48.05,50.33,49.14,42.25,71.87,43.71,37.86,47.78,48.16,7.06,35.85,47.43,54.81,48.17,56.17,80.9,79.1,83.3,82.9,67.3,64.3,94.8,85.1,70.7,72.1,81.9,56.6,64.7,91.5,52.1
gemma-2-9b-it,prompt_3,80.27,75.66,81.3,78.9,67.05,72.88,34.88,52.74,69.31,64.75,26.62,31.68,19.28,16.63,29.72,26.87,21.27,24.05,5.89,52.65,37.59,9.68,32.88,54.62,27.48,30.26,47.25,18,16.33,41.33,37.69,22.64,33.52,33.62,21.15,23.99,11.32,42.06,28.32,75.42,43,23.63,42.84,49.46,46.7,32.27,65.05,29.37,24.39,28.58,45.49,2.25,22.73,31.84,50.35,35.65,58.16,81.4,80.4,86.2,82.3,66.8,74.2,92.5,89.8,75.3,76.5,80.3,69.1,67.0,89.3,44.8
gemma-2-9b-it,prompt_4,78.28,79.94,71.5,66.6,77.24,75.9,43.97,61.83,76.09,79.81,26.96,43.53,29.67,30.67,28.21,26.41,20.84,29.89,37.29,66.63,59.89,11.4,29.21,75.45,31.38,40.74,61.62,23.98,33.67,42.17,44.78,34.05,45.81,32.37,26.76,50.88,14.65,65.46,56.62,80.71,44.04,30.87,56.47,53.31,59.98,47.7,73.79,49.6,40.73,45.14,54.12,2.2,27.69,43.5,58.38,50.45,61.09,67.8,71.9,72.8,62.3,56.1,53.9,89.5,81.7,49.6,67.0,71.2,53.7,62.3,87.4,50.2
gemma-2-9b-it,prompt_5,81.94,82.13,66.9,76.5,79.34,79.46,55.33,67.16,79.24,82.17,38.32,53.31,45.61,47.25,47.1,43.98,32.37,45.92,41.9,68.55,70.21,28.11,45.47,78.15,43.92,54.44,68.34,41.92,39.25,56.99,52.94,50.93,55.69,52.54,39.35,57.69,28.56,68.83,60.19,81.01,58.09,47.21,65.08,65.71,67.33,57.08,79.59,55.32,57.61,64.5,61.6,5.72,42.12,56.2,67.31,65.66,71.33,62.0,70.5,59.2,40.6,32.3,46.8,81.6,57.8,59.9,53.1,69.1,33.1,51.9,62.0,56.0
gemini-1.5-pro-002,prompt_1,86.27,86.76,84.8,79.4,84.8,86.27,76.96,87.75,87.75,84.8,42.65,63.73,26.96,32.35,29.41,58.33,49.51,24.51,60.78,82.84,82.35,43.63,47.55,82.84,55.88,68.63,81.37,33.33,29.41,69.12,74.51,50.98,73.04,36.76,25.49,79.9,26.47,86.27,85.29,87.25,79.9,50.98,83.82,85.78,79.9,72.06,34.31,80.39,73.04,79.41,79.17,36.27,42.65,42.16,84.31,75.49,83.82,88.0,80.1,83.9,82.3,75.8,78.2,94.8,89.0,71.0,83.2,80.7,80.2,77.1,91.5,67.4
gemini-1.5-pro-002,prompt_2,88.24,89.22,84.2,80.3,84.8,88.73,78.92,87.25,87.25,83.82,59.8,82.35,52.94,49.02,55.39,70.1,57.84,59.31,76.47,85.29,85.29,55.39,60.29,86.76,58.82,72.55,85.29,61.27,51.96,76.47,85.78,70.1,79.9,57.35,48.53,86.27,37.25,85.29,87.75,88.73,83.33,67.16,88.73,83.33,81.37,81.86,54.9,85.78,82.84,82.35,81.62,39.22,59.8,62.25,89.71,79.41,88.73,89.4,81.8,86.7,85.1,79.8,86.5,95.4,91.0,76.4,81.0,80.7,83.5,81.8,92.2,75.6
gemini-1.5-pro-002,prompt_3,88.73,90.2,85.2,79.2,86.27,85.78,78.43,87.25,86.76,88.24,61.27,82.35,53.43,43.63,60.78,71.57,57.35,59.31,78.43,87.25,81.86,57.84,64.22,86.27,66.67,74.51,84.31,65.69,55.88,76.47,85.29,66.67,78.43,57.35,49.51,84.31,30.39,83.82,85.29,88.73,83.33,67.16,85.78,85.29,83.82,78.92,57.35,82.84,80.88,81.37,81.86,39.22,65.69,62.75,85.78,79.9,86.27,87.0,80.2,83.3,83.4,78.0,80.0,92.8,91.0,70.7,81.6,81.1,83.8,78.1,91.7,75.3
gemini-1.5-pro-002,prompt_4,87.75,88.73,73.6,71.1,84.8,87.25,77.45,86.27,85.78,86.27,50.98,77.45,49.02,50,50,70.1,57.84,49.51,73.04,84.8,81.86,51.96,62.25,87.25,64.71,71.08,81.86,55.88,50.98,74.51,81.86,64.22,74.51,53.43,45.1,81.37,42.65,83.82,85.78,87.75,78.92,64.22,83.82,82.84,81.86,79.41,53.92,81.37,80.39,78.43,81.37,42.16,56.37,63.24,85.29,80.88,83.33,75.5,75.4,77.2,79.4,73.5,80.9,89.8,86.3,61.5,77.9,75.2,80.5,74.4,90.0,72.5
gemini-1.5-pro-002,prompt_5,88.73,89.71,82.0,78.7,87.25,87.25,80.39,87.25,87.75,87.25,60.29,80.39,56.86,53.92,60.29,73.04,60.78,60.78,81.37,85.78,81.86,57.84,63.73,87.25,68.14,74.02,84.31,66.18,50.98,79.41,87.75,70.59,78.92,56.86,51.96,86.27,46.08,83.33,85.29,89.22,81.37,72.55,86.27,83.33,86.76,80.39,59.8,82.84,81.37,81.86,82.35,45.59,61.27,63.24,86.27,85.29,86.76,89.4,82.6,87.2,84.6,78.9,85.9,94.4,91.0,75.3,81.3,80.0,84.6,84.2,89.5,76.7
gpt-4o-2024-08-06,prompt_1,89.05,86.76,83.0,80.3,86.76,90.2,76.47,84.31,87.25,86.76,54.41,75.98,48.04,47.55,51.47,51.47,40.2,58.33,81.86,86.76,84.31,43.63,67.16,88.24,41.67,72.55,85.78,51.47,49.02,72.06,87.25,64.71,80.39,72.06,43.14,86.76,33.82,87.75,87.25,86.76,82.84,54.41,84.8,85.29,83.33,81.86,53.43,75.49,84.8,80.88,77.45,14.71,55.39,73.04,85.78,84.31,84.8,85.4,78.2,82.8,83.4,78.0,83.4,94.8,90.4,70.7,78.7,77.3,77.2,80.5,92.2,73.0
gpt-4o-2024-08-06,prompt_2,89.22,90.2,82.4,79.4,89.22,88.73,78.43,86.27,88.24,88.24,56.37,77.45,50.98,50.49,55.39,51.96,43.14,61.76,87.25,86.76,83.82,36.27,69.61,85.29,48.04,73.04,87.75,48.53,50.98,76.96,83.33,60.78,79.9,73.04,47.55,86.76,41.18,84.8,84.31,87.75,82.35,59.8,85.29,84.8,84.8,83.33,49.02,79.41,83.82,86.27,77.45,12.25,56.37,77.94,87.25,81.37,89.22,87.2,82.9,85.6,85.1,81.2,88.3,95.7,91.3,74.8,81.0,80.9,84.6,85.2,92.7,74.4
gpt-4o-2024-08-06,prompt_3,88.24,88.24,83.2,80.6,87.25,87.75,76.47,85.78,88.73,86.27,57.84,76.96,54.41,47.55,59.8,51.96,45.59,64.71,85.78,85.29,83.33,50.49,73.04,86.27,47.55,75.49,84.8,53.43,57.35,77.45,86.27,61.76,81.37,78.92,43.63,86.27,46.08,84.8,77.45,88.73,85.29,56.86,83.82,86.27,85.78,83.33,58.33,80.88,85.78,81.37,77.94,12.75,59.31,79.9,87.75,85.29,87.75,86.7,80.4,83.9,85.7,79.4,85.2,94.4,89.8,71.3,79.9,80.0,78.3,80.8,93.2,74.8
gpt-4o-2024-08-06,prompt_4,89.22,88.24,75.7,74.9,88.73,87.75,77.45,88.73,86.76,87.75,54.41,75,46.57,44.61,48.53,48.04,38.24,56.86,84.8,84.8,81.86,38.73,69.12,85.29,41.67,75,86.27,44.12,47.06,75,84.8,61.27,78.92,67.65,43.63,85.78,37.75,85.29,85.29,87.25,84.8,50.49,83.82,84.31,84.8,82.11,51.47,78.43,82.35,82.84,78.92,12.75,50.98,74.51,86.76,85.29,86.27,77.7,76.9,80.0,76.0,74.0,80.9,91.5,85.1,64.8,73.5,75.2,72.1,74.1,91.5,71.6
gpt-4o-2024-08-06,prompt_5,84.31,86.27,82.0,78.2,84.8,84.31,75,81.86,86.76,83.33,59.31,75.49,48.53,46.08,55.88,47.06,45.1,60.78,80.88,82.84,81.37,43.14,70.59,87.25,44.61,72.06,84.31,44.61,49.02,74.51,82.35,61.76,77.45,70.1,45.1,83.33,40.69,83.33,81.86,85.29,76.96,57.84,80.88,81.37,82.35,76.96,50,75,81.86,82.35,73.04,15.69,52.94,72.55,83.82,78.92,82.35,87.5,82.7,85.4,88.6,80.7,88.0,95.7,90.1,78.1,79.9,77.7,78.7,85.9,90.8,72.5
