model,prompt,eng,fra,eng ms,fra ms,aeb,afr,aka,amh,ary,arz,bam,bem,cjk,dik,dyu,ewe,fon,fuv,gaz,hau,ibo,kab,kam,kea,kbp,kik,kin,kmb,knc,kon,lin,lua,lug,luo,mos,nso,nus,nya,plt,por,run,sag,sot,sna,som,ssw,swa,tir,tso,tum,twi,tzm,umb,wol,xho,yor,zul,amh,hau,ibo,lin,lug,orm,pcm,run,sna,som,swa,tir,xho,yor,avg_score
LLaMAX3-8B,prompt_1,10,10,23.5,9.5,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,16.8,18.7,2.8,30.9,1.4,7.1,14.8,15.8,4.3,9.5,13.0,15.1,11.5,7.5,10.4
LLaMAX3-8B,prompt_2,17.11,10.98,24.4,7.8,10,10.98,10,16.34,11.89,14.75,10.99,10,10,10,10,10,10,10,10.99,10.98,10.98,10,11.89,10,10,10,10.98,10,10.98,10,18.39,10,10,10,11.9,10,10,10.98,10,16.5,10,10,10.99,10,16.3,14.77,20.66,10.99,10,10,10.98,10.91,10,10.99,11.11,10,12.34,0.3,15.5,1.3,1.7,4.9,4.6,4.3,19.6,24.7,10.2,15.1,6.6,25.6,6.6,11.1
LLaMAX3-8B,prompt_3,77.18,77.16,61.3,49.1,68.27,75.87,48.11,39.15,70.27,67.69,29.65,47.36,35.86,40.33,35.95,41.16,31.28,36.37,38.46,67.44,68.62,21.11,44.61,67.6,33.56,44.64,69.52,37.07,40.39,55.16,59.53,50.61,52.39,37.94,36.38,55.49,26.99,67.69,70.65,67.26,65.45,43.95,58.82,66.96,63.02,61.33,75.54,27.59,53.72,60.11,49.31,3.77,32.62,54.08,71.72,57.02,73.58,35.1,47.6,43.3,75.4,49.8,40.0,52.1,42.2,39.6,37.1,41.8,42.3,45.8,44.5,49.8
LLaMAX3-8B,prompt_4,35.4,18.61,42.8,32.7,24.79,34.33,16.91,15.52,24.74,28.7,11.97,10.98,12.9,11.89,10.99,16.7,11.97,13.81,12.79,31.52,26.68,10,13.78,22.82,15.39,11.97,22.03,10,16.37,11.97,12.88,12.9,13.56,11.92,11.97,11.92,10.98,17.95,18.14,35.34,20.42,11.97,14.4,19.66,26.32,17.89,29.96,10.98,14.69,13.78,19.4,10,10,11.92,19.05,12.9,25.46,21.8,37.7,25.6,65.1,52.5,17.5,53.4,40.1,34.7,20.8,24.4,26.1,54.2,42.1,21.1
LLaMAX3-8B,prompt_5,48.34,22.73,31.8,23.0,41.35,60.75,22.9,21.92,42.3,48.66,21.2,13.72,17.92,21.71,17.25,15.64,15.27,24.17,29.6,37.66,33.11,14.81,18.32,25.3,15.39,21.34,36.39,14.54,27.56,23.59,15.81,20.03,17.28,16.8,17.98,33.09,13.78,20.39,34.58,44.88,31.95,14.77,32.94,21.96,40.79,39.91,45.37,19.56,28.2,20.61,26.72,10,13.54,19.37,25.03,20.74,43.45,16.2,25.0,8.2,58.3,38.1,9.5,26.2,28.9,19.5,10.2,13.9,18.4,22.9,17.5,25.1
Llama-2-7b-chat-hf,prompt_1,41.84,30.18,27.3,28.7,15.3,32.62,12.91,10,16.16,14.44,18.13,11.64,12.34,14.64,13.58,12.05,11.98,17.06,11.14,13.53,10.91,9.92,14.9,19.02,12.94,14.43,11.98,12.32,13.08,16.75,13.29,15.12,13.5,13.96,12.16,13.21,14.57,13.54,17.74,33.22,12.5,12.45,12.81,13.48,12.38,11.89,20.37,10.99,11.37,11.95,11.16,11.9,13.84,13.59,11.24,11.63,13.33,26.6,18.5,20.3,17.1,31.8,28.9,15.1,25.8,26.6,35.4,18.9,36.0,16.8,20.0,16.3
Llama-2-7b-chat-hf,prompt_2,49.15,45.87,21.6,14.0,13.64,37.8,12.8,3.52,10.23,15.78,9.25,7.67,13.15,11.9,19.13,17.49,7.14,14.57,2.92,10.85,14.97,2.22,12.03,25.61,2.24,21.54,10.74,10.1,3.91,16.96,13.17,16.63,10.35,15.88,15.27,7.4,8.78,21.07,9.32,35.68,14.65,14.75,5.8,15.77,6.95,8.68,14.06,1.28,8.29,13.61,16.25,2.25,8.77,11.45,16.29,7.28,13.58,2.1,21.0,4.4,2.3,22.9,4.0,16.7,6.8,18.4,10.9,11.1,6.3,2.7,18.0,12.1
Llama-2-7b-chat-hf,prompt_3,24.86,23.29,22.4,28.7,6.31,12.44,6.66,5.16,5.39,10.59,4.87,6.66,6.63,4.19,7.5,8.65,4.84,4.96,5.56,6.35,6.69,3.71,6.14,10.94,5.41,6.9,4.29,4.2,5.11,6.7,6.96,5.72,5.28,5.72,6.99,5.83,4.88,6.28,6.14,12.49,5.3,9.33,5.61,6.6,5.56,5.87,5.97,5.12,4.67,5.05,9.91,4.32,5.74,7.29,6.28,7.46,6.88,25.3,15.4,25.1,10.3,22.9,16.3,16.7,25.8,30.1,35.4,20.0,27.6,12.1,16.1,9.5
Llama-2-7b-chat-hf,prompt_4,24.18,20.26,24.3,37.9,31.46,6.17,14.88,11.22,29.68,31.08,9.79,15.47,18.23,13.32,14.62,11.42,10.35,13.18,10.38,12.23,5.18,7.26,14.87,12.36,12.66,19.31,12.38,12.96,18.94,20.02,18.14,17.98,12.03,11.74,8.97,15.14,12.34,19.63,26.14,8.94,14.19,13.99,16.02,22.63,14.77,15.92,12.94,11.16,17.68,16.49,9.66,13.14,15.22,15.61,15.81,8.52,20.78,14.9,36.4,26.2,52.0,45.3,33.9,60.0,45.0,37.4,43.9,25.4,12.5,20.5,48.4,19.4
Llama-2-7b-chat-hf,prompt_5,45.54,40.07,20.4,28.7,40.95,21.69,21.7,16.9,41.43,41.27,14.3,25.1,21.06,21,19.63,18.96,14.05,24.05,12.73,14.35,23.15,10.64,20.9,20.02,14.19,27.86,18.42,10.29,16.6,28.85,24.13,18.53,22.04,15.92,11.57,19.5,14.65,24,21.98,32.74,11.71,24.29,14.27,20.06,11.48,14.99,17.67,15.76,14.89,21.49,27.76,9.72,14.7,13.46,16.28,20.52,13.26,23.4,18.5,20.5,11.4,26.0,15.7,8.2,13.0,28.7,24.5,14.3,9.2,8.1,10.5,19.1
