model,prompt,amh,arq,ary,hau,ibo,kin,orm,pcm,por,swa,tir,tso,twi,yor,avg_score
Meta-Llama-3-8B-Instruct,prompt_5,46.32,51.04,46.07,38.47,36.12,38.4,28.15,60.23,27.94,37.83,38,43.31,47.73,45.05,41.8
aya-101,prompt_1,58.28,52.3,51.5,53.23,40.63,53.12,29.77,58.83,46.42,39.04,61.25,41.34,45.21,59.89,49.3
aya-101,prompt_2,55.88,55.22,52.04,53.65,39.79,55.85,31.58,55.34,50.63,43.05,63.2,43.7,40.36,57.03,49.8
aya-101,prompt_3,76.84,67.75,58.12,61.15,47.5,61.11,37.36,70.05,48.83,47.46,71.2,50.79,44.68,57.03,57.1
aya-101,prompt_4,60.83,50.84,56.7,67.55,53.48,56.34,37.07,57.01,65.76,54.81,65.8,40.55,36.67,62.41,54.7
aya-101,prompt_5,77.44,64.2,46.07,64.19,51.06,65.11,39.93,63.34,48.23,45.45,66,45.67,34.88,52.51,54.6
gemma-1.1-7b-it,prompt_1,11.41,16.18,33.33,33.74,44.02,38.5,43.42,10.47,65.02,59.36,19.55,16.93,15.38,35.88,31.7
gemma-1.1-7b-it,prompt_2,11.46,23.28,36.1,33.7,44,38.6,41.27,10.47,64.8,59.22,21.6,16.93,15.38,35.79,32.3
gemma-1.1-7b-it,prompt_3,11.21,16.08,33,34.45,44.51,38.5,42.94,10.57,65.1,59.63,19.4,19.29,25.5,35.9,32.6
gemma-1.1-7b-it,prompt_4,15.81,29.33,39.41,37.9,46.74,41.72,41.51,50.43,62.48,54.55,22.05,25.98,25.92,37.28,37.9
gemma-1.1-7b-it,prompt_5,24.36,43.11,41.98,37.94,34.66,31.97,25.91,66.49,37.41,37.03,32.4,50,48.68,43.79,39.7
gemma-2-27b-it,prompt_1,71.59,64.93,49.48,47.92,37.02,44.44,28.96,74.87,30.56,36.36,54.2,54.33,55.85,47.49,49.9
gemma-2-27b-it,prompt_2,74.29,64.2,51.77,59.46,50.11,48.83,28.15,77.66,29.79,35.56,56.4,54.72,59.22,53.4,53.1
gemma-2-27b-it,prompt_3,70.79,64.61,59.03,64.98,62.55,58.58,41.56,68.73,48.94,53.61,57.2,46.06,40.25,63.26,57.2
gemma-2-27b-it,prompt_4,54.33,62.53,53.87,48.1,49.7,53.31,43.75,67.96,50.82,57.75,33.45,31.89,34.67,40.6,48.8
gemma-2-27b-it,prompt_5,70.74,65.76,59.03,64.83,60.4,59.06,37.26,75.97,42.82,55.61,58.85,50,54.27,65.45,58.6
gemma-2-9b-it,prompt_1,11.21,16.08,32.66,33.75,44.02,38.3,42.99,10.45,64.91,59.36,19.35,16.93,15.38,35.79,31.5
gemma-2-9b-it,prompt_2,11.21,16.08,32.66,33.74,44.02,38.3,42.94,10.64,64.94,59.36,19.35,16.93,15.38,36.15,31.6
gemma-2-9b-it,prompt_3,61.03,64.72,55.89,65.32,60.35,55.65,35.5,73.88,43.99,51.07,39,45.67,42.78,52.27,53.4
gemma-2-9b-it,prompt_4,65.68,64.09,53.93,54.54,52.09,52.83,42.8,65,48.63,56.42,44.15,32.28,32.35,41.9,50.5
gemma-2-9b-it,prompt_5,70.09,62,56.43,61.36,58.15,56.14,37.88,66.83,46.64,58.69,55.4,43.7,48.05,55.44,55.5
gemini-1.5-pro-002,prompt_1,80.84,75.89,55.42,65.87,57.69,67.64,41.22,68.39,45.77,52.14,69.15,44.49,48.47,67.31,60.0
gemini-1.5-pro-003,prompt_2,81.09,78.18,61.36,68.45,58.42,68.81,40.22,75.64,40.58,48.66,68.45,56.30,51.74,70.43,62.0
gemini-1.5-pro-004,prompt_3,77.54,70.88,63.73,70.13,56.90,68.32,42.80,74.48,46.40,55.21,70.20,55.91,49.32,74.29,62.6
gemini-1.5-pro-005,prompt_4,77.39,70.35,60.25,68.21,60.29,69.40,42.94,71.18,51.04,57.75,68.65,39.37,46.89,68.84,60.9
gemini-1.5-pro-006,prompt_5,78.49,73.38,55.69,66.98,55.24,65.89,39.12,76.07,40.72,46.66,66.75,55.51,48.68,67.55,59.8
gpt-4o-2024-08-06,prompt_1,74.59,69.21,56.64,66.04,64.91,70.47,43.08,66.01,63.60,57.89,60.50,33.86,48.47,68.02,60.2
gpt-4o-2024-08-07,prompt_2,75.59,72.34,61.16,68.55,67.76,71.64,43.08,67.12,62.10,57.89,61.50,46.46,51.32,70.21,62.6
gpt-4o-2024-08-08,prompt_3,74.29,63.57,61.90,67.28,68.47,69.49,45.71,61.80,63.05,61.10,62.05,41.34,50.47,64.43,61.1
gpt-4o-2024-08-09,prompt_4,65.03,47.81,51.74,56.23,56.36,61.21,46.76,48.05,71.16,64.57,54.20,25.59,33.19,48.95,52.2
gpt-4o-2024-08-10,prompt_5,74.79,71.19,62.58,64.87,66.08,68.23,42.37,70.37,55.82,57.22,64.70,49.61,56.27,67.84,62.3
