model,prompt,bam,bbj,ewe,fon,hau,ibo,kin,lug,luo,mos,nya,pcm,sna,swa,tsn,twi,wol,xho,yor,zul,avg
gemma-2-9b-it,prompt_1,36.64,27.11,50.84,32.79,49.93,44.43,40.76,45.57,34.41,42.65,55.98,68.73,65.34,61.1,45.82,51.68,38.82,61.08,51.47,61.97,48.4
gemma-2-9b-it,prompt_2,39.22,27.16,50.81,34,58.02,51.24,47.35,50.21,34.92,44.89,60.83,77.24,68.03,63.9,51.94,53.84,41.74,62.7,54.76,65.2,51.9
gemma-2-9b-it,prompt_3,39.46,27.69,51.94,34.55,57.22,50.88,47.77,49.55,35.08,45.07,60.55,75.2,67.68,64.06,51.85,53.46,42.04,62.02,54.86,65.02,51.8
gemma-2-9b-it,prompt_4,33.51,20.41,39.38,30.61,44.32,42.51,37.46,36.87,31.52,34.66,48.36,65.71,61.8,58.25,41.44,44.16,34.85,53.39,46.92,54.13,43.0
gemma-2-9b-it,prompt_5,31.9,21.2,43.53,32.2,42.79,44.7,42.09,40.08,33.34,34.44,50.38,63.96,64.36,59.19,41.81,48.02,37.75,53.04,48.44,53.5,44.3
gemini-1.5-pro-002,prompt_1,40.84,28.76,60.44,53.57,61.96,54.08,45.8,52.42,40.79,53.11,71.9,80.94,77.05,66.58,57.45,59.16,61.01,70.67,64.27,75.26,58.8
gemini-1.5-pro-002,prompt_2,45.87,29.68,66.16,57.56,63.39,54.97,46.12,51.28,45.3,54.73,73.51,85.07,76.96,66.66,56.07,63.05,67.35,69.86,65.83,74.28,60.7
gemini-1.5-pro-002,prompt_3,45.82,30.1,65.71,56.02,63.98,55.11,46.66,51.03,44.9,54.7,74.54,84.98,77.06,66.53,57.3,61.93,66.92,70.19,65.91,76.02,60.8
gemini-1.5-pro-002,prompt_4,41.06,28.29,60.89,54.12,62.15,54.6,46.27,51.49,41.37,53.11,71.95,81.15,76.54,66.54,57.31,59.77,61.07,70.89,64.47,75.34,58.9
gemini-1.5-pro-002,prompt_5,40.27,25.57,60.94,54.27,60.29,53.69,46.18,51.19,40.15,50.8,71.96,79.99,77.35,65.99,58.39,60.86,59.28,70.18,65.24,74.48,58.4
gpt-4o-2024-08-06,prompt_1,42.04,26.71,61.04,42.63,63.69,54.2,46.11,51.37,52.32,45.42,71.1,82.51,77.61,67.31,57.92,61.41,76.79,71.32,67.03,75.52,59.7
gpt-4o-2024-08-06,prompt_2,48.15,30.78,67.45,45.79,65.1,56.51,47.35,52.53,58.34,49.02,74.81,84.87,80.66,68.25,60.54,63.73,82.95,70.11,70.24,76.95,62.7
gpt-4o-2024-08-06,prompt_3,47.85,31.58,67.68,46.86,64.9,56.63,47.18,52.6,58.69,49.54,74.69,84.9,79.62,68.25,60.19,63.57,83.02,70.5,70.38,76.94,62.8
gpt-4o-2024-08-06,prompt_4,42.5,27.58,62.07,43.61,63.58,54.9,46.26,51.83,53.12,45.86,71.34,82.58,78.15,67.89,58.58,62.04,77.46,70.63,67.52,75.74,60.2
gpt-4o-2024-08-06,prompt_5,37.11,21.37,57.99,37.24,60.1,51.74,42.72,49.16,49.82,38.42,66.95,76.72,72.31,64.96,53.75,56.86,69.2,66.39,59.2,73.32,55.3
